Transaction_ID,User_ID,Insurance_Type,Premium,Date,Payment_Status,Reason
INS_1161B3F7A465,PP0014961,Term Life,2173.26,2024-06-03,Successful,Successful
INS_59741224D257,PP0041611,Term Life,5509.28,2024-03-22,Successful,Successful
INS_D4091460AF19,PP0032424,Car,12960.8,2024-08-31,Successful,Successful
INS_813A5622EDB5,PP0006929,Health,16799.43,2024-06-01,Successful,Successful
INS_9625093BFB70,PP0015641,Bike,18470.7,2024-07-07,Successful,Successful
INS_9469A14FFC1E,PP0037619,Car,14504.86,2024-04-11,Successful,Successful
INS_AF5949BEA362,PP0042036,Health,3260.99,2024-05-05,Successful,Successful
INS_8C3D218ABD93,PP0043416,Bike,10088.51,2024-12-12,Successful,Successful
INS_C4EC5AF389EC,PP0036476,Health,19395.05,2024-10-31,Successful,Successful
INS_C2875C3ABB67,PP0021404,Bike,13858.41,2024-07-18,Successful,Successful
INS_A3D6F4DE7F76,PP1069675,Health,3522.72,2024-07-08,Successful,Successful
INS_792D18F67DC5,PP1081646,Car,9983.27,2024-09-02,Successful,Successful
INS_6B79C998FE0E,PP1052740,Term Life,15658.35,2024-04-10,Successful,Successful
INS_2AA4497A3A06,PP1049370,Car,6582.26,2024-08-07,Successful,Successful
INS_EC916FF156BB,PP0033235,Term Life,14124.53,2024-06-29,Successful,Successful
INS_8B80DC2DCAC7,PP0022347,Bike,13996.34,2024-06-08,Successful,Successful
INS_44CA095ECB6E,PP0045739,Term Life,1423.13,2024-10-06,Successful,Successful
INS_8C800FE22CC1,PP1070283,Bike,18234.19,2024-06-20,Successful,Successful
INS_15B63B840471,PP0049743,Car,6354.82,2024-08-17,Successful,Successful
INS_689624A32CDB,PP0049499,Health,9321.91,2024-07-20,Successful,Successful
INS_F7EC8096664C,PP1081974,Term Life,7950.7,2024-03-16,Successful,Successful
INS_CF78964ACF06,PP0008846,Term Life,19854.81,2024-04-03,Failed,Server error
INS_D94C798353C1,PP0009346,Health,14447.95,2024-11-21,Successful,Successful
INS_A5107577E450,PP1080343,Car,14436.95,2024-02-01,Successful,Successful
INS_D057A05D66DB,PP1050223,Health,1092.57,2024-08-19,Successful,Successful
INS_824E665B9109,PP1097852,Bike,13202.84,2024-07-11,Successful,Successful
INS_C98A2CD4369E,PP1081736,Term Life,19665.08,2024-05-10,Successful,Successful
INS_E6B2AB968E4C,PP1074414,Bike,7014.68,2024-02-27,Successful,Successful
INS_7CEDF2E4070F,PP1091079,Car,8373.76,2024-09-16,Successful,Successful
INS_D196FB2A5453,PP0022139,Health,7416.71,2024-10-23,Successful,Successful
INS_A76322595A84,PP0003541,Car,15974.92,2024-08-17,Successful,Successful
INS_518D83D260A3,PP1051422,Health,1427.15,2024-01-11,Successful,Successful
INS_ADCC29C4B5C0,PP1076716,Bike,17603.2,2024-01-03,Successful,Successful
INS_645196873742,PP0049168,Bike,19287.63,2024-07-29,Successful,Successful
INS_3E3E5F1FCFFD,PP1089616,Bike,16869.42,2024-03-28,Failed,Wrong PIN
INS_932C36698C9D,PP1082218,Term Life,3578.68,2024-05-29,Successful,Successful
INS_A1DDC14CBF44,PP1049738,Health,19189.08,2024-06-22,Successful,Successful
INS_745386D89B83,PP0039438,Health,8225.81,2024-01-28,Successful,Successful
INS_0C4472B7B1F8,PP0033233,Bike,8885.27,2024-06-28,Successful,Successful
INS_6DDBF59CE68E,PP0019147,Health,8182.11,2024-08-17,Successful,Successful
INS_397BC52B252B,PP0015309,Health,2578.32,2024-05-02,Successful,Successful
INS_2A922862EA67,PP1073205,Car,3596.81,2024-12-06,Successful,Successful
INS_7866612D8E0A,PP0029925,Car,7127.32,2024-04-02,Failed,Wrong PIN
INS_980988E6207C,PP1061927,Car,15134.4,2024-07-16,Failed,Server error
INS_6F0C12D1DB92,PP0040810,Bike,6058.95,2024-02-27,Successful,Successful
INS_F9F9B46286AD,PP1066040,Term Life,13264.85,2024-08-05,Successful,Successful
INS_8888E7713491,PP0049774,Health,18924.87,2024-12-15,Successful,Successful
INS_DF41A25244FA,PP0032226,Car,15901.61,2024-08-12,Successful,Successful
INS_D172066C92E6,PP0006205,Car,536.07,2024-02-26,Successful,Successful
INS_910DBA0D8D1E,PP1052188,Bike,19227.17,2024-01-14,Successful,Successful
INS_93021A4D2AEA,PP0029004,Term Life,16364.27,2024-12-04,Successful,Successful
INS_45CD2D1683FC,PP1095240,Car,4575.98,2024-09-03,Successful,Successful
INS_BCAC8ABB6068,PP0008319,Bike,7100.5,2024-10-02,Successful,Successful
INS_AD55D0CBA2C8,PP1060242,Car,5086.48,2024-07-17,Successful,Successful
INS_DB481D1BB066,PP0021281,Car,17666.13,2024-08-25,Successful,Successful
INS_93D15B00C39A,PP0038000,Car,13533.82,2024-11-26,Successful,Successful
INS_156566DFF65D,PP1097737,Term Life,15871.67,2024-03-27,Successful,Successful
INS_BBD655F068B2,PP1075098,Bike,6424.4,2024-01-11,Successful,Successful
INS_94A8A70CF0D7,PP1103995,Car,6903.19,2024-10-15,Successful,Successful
INS_1DEEE827A98A,PP0028029,Bike,8138.47,2024-06-28,Successful,Successful
INS_A0E14B653ED3,PP1085392,Term Life,13004.2,2024-12-18,Successful,Successful
INS_96986048A91D,PP1063575,Car,16294.13,2024-02-02,Successful,Successful
INS_0D08D85B583B,PP1090648,Car,9518.99,2024-08-29,Successful,Successful
INS_2A60B311DB04,PP1106446,Car,8886.98,2024-03-10,Successful,Successful
INS_AE94E8DCBE9A,PP1072592,Term Life,6160.23,2024-05-31,Successful,Successful
INS_84A17C204A9B,PP0021093,Term Life,1267.01,2024-03-30,Successful,Successful
INS_C1B8BC5AD391,PP1107418,Health,13494.43,2024-11-25,Successful,Successful
INS_71CE5E0D6263,PP1079052,Car,14066.25,2024-03-08,Successful,Successful
INS_FF413A5973E4,PP0031436,Health,6160.93,2024-05-29,Successful,Successful
INS_FB39300C0D43,PP1058222,Car,12731.86,2024-12-08,Successful,Successful
INS_E0AF21382549,PP1049201,Car,6813.66,2024-02-15,Successful,Successful
INS_93DFA2A64983,PP1076503,Health,10116.86,2024-01-07,Failed,Wrong PIN
INS_DDFDD76C83D3,PP1049705,Bike,11651.37,2024-06-04,Failed,Server error
INS_0936A7018C16,PP1086329,Term Life,11388.36,2024-03-05,Successful,Successful
INS_9508397056EF,PP0007143,Car,4900.15,2024-06-08,Successful,Successful
INS_8DBE128F10A0,PP1055294,Health,4093.89,2024-12-19,Successful,Successful
INS_CD5E61C12E32,PP0023554,Bike,5817.89,2024-02-29,Successful,Successful
INS_2B8D98084EF3,PP1070383,Term Life,11700.7,2024-12-15,Successful,Successful
INS_D381E2DFBEBA,PP1091556,Car,6937.08,2024-05-18,Successful,Successful
INS_F976FE8135F1,PP0039276,Term Life,14636.83,2024-01-28,Successful,Successful
INS_5FF90BA4F6B2,PP0048306,Car,11750.18,2024-02-24,Successful,Successful
INS_97F1E0BD3E50,PP0026794,Term Life,16875.79,2024-12-17,Successful,Successful
INS_108FBA3A25AA,PP1106969,Bike,2591.07,2024-06-18,Failed,Server error
INS_4013D7E48CEA,PP1093175,Bike,13562.22,2024-06-13,Successful,Successful
INS_F00F6EA5FDC0,PP0010379,Term Life,1997.04,2024-10-23,Successful,Successful
INS_CB246F63ED40,PP1100935,Health,3701.36,2024-11-24,Successful,Successful
INS_B44BAA42833F,PP0008810,Health,13995.47,2024-07-19,Successful,Successful
INS_C3B8F0E2912E,PP0006580,Health,3707.76,2024-06-12,Successful,Successful
INS_9659DA3C2A2B,PP0007233,Health,11500.02,2024-11-13,Failed,Wrong PIN
INS_01739CDFA517,PP0042819,Health,942.93,2024-02-22,Successful,Successful
INS_C05B592F29E8,PP1083417,Health,6446.81,2024-01-25,Successful,Successful
INS_ECE5E0E1D4B2,PP0016368,Term Life,10843.37,2024-12-19,Successful,Successful
INS_E39C6CCF61F3,PP0026103,Term Life,3468.48,2024-04-29,Successful,Successful
INS_D99C76DE852D,PP0036174,Health,4064.65,2024-09-08,Successful,Successful
INS_C0D85EDA78B2,PP1074920,Car,1574.99,2024-04-07,Successful,Successful
INS_AF8A2C311841,PP0034126,Term Life,10356.04,2024-07-17,Successful,Successful
INS_EBFFC7DF2EF7,PP1049781,Bike,7699.36,2024-03-08,Successful,Successful
