Transaction_ID,User_ID,Loan_Type,Loan_Amount,Date,Payment_Status,Reason
LON_1329C39D026B,PP1057315,Gold Loan,71162.95,2024-01-20,Successful,Successful
LON_AA5EB40B65D8,PP0044616,Mutual Fund,40957.29,2024-10-26,Successful,Successful
LON_9AED5B360DA3,PP1073567,Mutual Fund,31208.04,2024-04-11,Successful,Successful
LON_0F4FE9465FF6,PP0042929,Auto Loan,23149.14,2024-10-17,Successful,Successful
LON_A4676711FB3E,PP0034329,Mutual Fund,47599.0,2024-04-08,Successful,Successful
LON_A252F4080469,PP1075823,Auto Loan,8215.31,2024-05-31,Successful,Successful
LON_336772ECE950,PP0023467,Gold Loan,96332.51,2024-02-11,Successful,Successful
LON_16A6FECA2A2E,PP1100224,Credit Score,8959.48,2024-03-25,Successful,Successful
LON_0652DA23A021,PP0014225,Mutual Fund,5481.57,2024-08-24,Successful,Successful
LON_DD4DD4E37F59,PP0028599,Gold Loan,11077.28,2024-04-03,Successful,Successful
LON_2010606AD581,PP1072947,Credit Score,3365.38,2024-04-08,Successful,Successful
LON_42146BD42D0E,PP0043023,Mutual Fund,41942.12,2024-04-14,Successful,Successful
LON_B8DF8F4CA311,PP1096532,Gold Loan,74303.72,2024-10-30,Successful,Successful
LON_5F3AFFA635AC,PP1073970,Gold Loan,47958.84,2024-05-30,Successful,Successful
LON_1B73622EFF20,PP1099498,Credit Score,45010.6,2024-08-03,Successful,Successful
LON_266A6865D0BD,PP0001250,Credit Score,40737.13,2024-02-18,Successful,Successful
LON_A53A85AE4FB9,PP1104101,Mutual Fund,75813.05,2024-02-29,Successful,Successful
LON_251CD1493D3B,PP1059336,Auto Loan,80561.25,2024-06-23,Successful,Successful
LON_1FA9ECC09EF8,PP0035901,Gold Loan,31663.78,2024-07-23,Successful,Successful
LON_6353A2EDB05F,PP0017574,Credit Score,21090.37,2024-02-27,Successful,Successful
LON_D15693CC60F4,PP1092526,Mutual Fund,30786.21,2024-12-15,Failed,Wrong Info
LON_11038F40CC0A,PP1064150,Auto Loan,6434.84,2024-02-12,Successful,Successful
LON_AE6BEB67BFC7,PP0031101,Credit Score,21441.72,2024-04-03,Successful,Successful
LON_16DACB76AA7D,PP0010226,Mutual Fund,94656.98,2024-03-19,Successful,Successful
LON_7CF30A8650F7,PP0023556,Credit Score,25092.98,2024-07-31,Successful,Successful
LON_584F37A728E8,PP1094162,Credit Score,37838.81,2024-11-26,Successful,Successful
LON_7941386172B1,PP0021683,Auto Loan,53411.8,2024-08-24,Successful,Successful
LON_99BD32F2F200,PP0020894,Credit Score,19755.95,2024-02-04,Successful,Successful
LON_85AC231669CE,PP1056081,Mutual Fund,97422.04,2024-01-23,Successful,Successful
LON_E5EC89E2EC2B,PP1055535,Auto Loan,84825.84,2024-05-10,Successful,Successful
LON_8004CCA4AA87,PP1087376,Auto Loan,42543.4,2024-06-15,Successful,Successful
LON_BE4EEA834749,PP0033382,Gold Loan,5570.13,2024-04-26,Successful,Successful
LON_40B0FCAFBB1B,PP1054564,Mutual Fund,3270.63,2024-05-20,Successful,Successful
LON_8046DDB3CFB6,PP0010729,Credit Score,35684.62,2024-12-01,Successful,Successful
LON_FAB03799B424,PP0017049,Gold Loan,48251.53,2024-07-05,Successful,Successful
LON_62982281B263,PP1087298,Gold Loan,62814.99,2024-01-06,Successful,Successful
LON_CFC7AEDFE738,PP1061172,Credit Score,39000.25,2024-07-30,Successful,Successful
LON_848D653915AA,PP1053637,Credit Score,61881.41,2024-11-19,Successful,Successful
LON_4AE49A60D725,PP0016326,Gold Loan,26270.96,2024-07-31,Successful,Successful
LON_C47692BDDA2A,PP0045007,Auto Loan,95315.0,2024-04-18,Successful,Successful
LON_60A3F113CE5A,PP1092153,Gold Loan,56640.24,2024-01-07,Successful,Successful
LON_3327DBA2D555,PP0042734,Mutual Fund,18948.8,2024-03-30,Successful,Successful
LON_C0DCD26BDE1E,PP0018891,Auto Loan,54237.25,2024-10-14,Successful,Successful
LON_3EE7EFAF5014,PP1095178,Gold Loan,37856.64,2024-11-11,Successful,Successful
LON_DAA903E579CF,PP0011690,Credit Score,14654.5,2024-11-16,Successful,Successful
LON_71479C4A458E,PP0015655,Mutual Fund,4164.41,2024-10-18,Successful,Successful
LON_43F4EC32F034,PP1059901,Credit Score,96666.39,2024-08-25,Successful,Successful
LON_9D3B37B6EAB9,PP0049701,Gold Loan,15802.25,2024-05-27,Failed,Wrong Info
LON_87D28AB85D09,PP1061109,Mutual Fund,3185.24,2024-08-27,Successful,Successful
LON_FAA56725F52C,PP1051202,Auto Loan,88965.36,2024-12-06,Successful,Successful
LON_9E1BAE8B3D52,PP1079619,Gold Loan,53889.01,2024-07-12,Successful,Successful
LON_3632195791B3,PP0013491,Gold Loan,97780.78,2024-10-02,Successful,Successful
LON_169169BE2862,PP0045794,Gold Loan,15417.97,2024-03-09,Successful,Successful
LON_A0685D405302,PP1070157,Gold Loan,54059.2,2024-03-12,Successful,Successful
LON_83DF27BFF4BE,PP0041307,Auto Loan,58933.07,2024-09-26,Successful,Successful
LON_93429249F7E6,PP1055614,Mutual Fund,19975.84,2024-08-02,Successful,Successful
LON_F66C9BD8774F,PP1081221,Credit Score,25024.69,2024-07-12,Successful,Successful
LON_8573E101B9F7,PP0032710,Mutual Fund,90818.62,2024-01-24,Successful,Successful
LON_A97092A1417B,PP0036608,Credit Score,48785.65,2024-12-11,Successful,Successful
LON_8A93C2FEA61A,PP1073021,Mutual Fund,45887.75,2024-01-31,Successful,Successful
LON_3EF636903964,PP1101517,Auto Loan,9418.2,2024-05-11,Successful,Successful
LON_8F6A3143AF1C,PP1102218,Auto Loan,10114.98,2024-01-16,Successful,Successful
LON_6E0AA8A559D4,PP1083482,Credit Score,28473.5,2024-08-19,Successful,Successful
LON_CA92320414A3,PP1082117,Auto Loan,46314.27,2024-01-25,Successful,Successful
LON_F1411BDED6D1,PP0043023,Auto Loan,2685.06,2024-11-24,Successful,Successful
LON_07022BE8AB61,PP1096750,Credit Score,71669.47,2024-03-21,Successful,Successful
LON_F197E5F55553,PP1053341,Gold Loan,99932.17,2024-09-16,Successful,Successful
